ticker,name
X:ZETACHAINUSD,ZetaChain
X:ZETAUSD,ZetaChain
X:ZEUSUSD,Zeus Network
X:ZEXUSD,Zeta
X:ZILUSD,Zilliqa
X:ZKUSD,ZKsync
X:ZKXUSD,zkSync
X:ZMTUSD,Zipmex
X:ZROUSD,LayerZero
X:ZRXUSD,0x
X:ZUSDUSD,Zasset zUSD
